set_piece_type,delivery_type,delivery_zone,defensive_scheme,num_defenders_box,num_attackers_box,aerial_threat,second_ball_runners,near_post_decoy,gk_screen,blocker_action,taker_foot_matches,runner_from_deep,overload_far_post,second_wave_runner,quick_delivery,dummy_run,xg,second_ball_won
corner,inswinger,wide_channel,Deep Zonal,6,4,5,0,1,0,0,0,0,0,1,0,0,0.0869,1
corner,short,central,Hybrid,8,1,4,2,0,1,1,1,1,1,0,0,0,0.1356,0
goal_kick,lofted,wide_channel,Deep Zonal,4,4,3,1,0,0,0,0,0,0,0,0,0,0.0625,0
throw_in,driven,near_post,Man-to-Man,6,3,7,2,0,0,0,1,0,1,0,0,0,0.1243,1
throw_in,driven,near_post,Man-to-Man,7,2,10,1,0,0,0,1,0,0,0,1,0,0.1558,1
goal_kick,lofted,central,High Zonal,9,4,6,0,0,0,0,0,0,0,1,1,0,0.0897,0
free_kick_central,short,near_post,High Zonal,11,5,6,2,0,0,1,0,0,1,1,1,0,0.1633,0
penalty,lofted,far_post,Man-to-Man,4,3,10,2,0,1,0,1,1,0,0,0,0,0.7855,0
corner,inswinger,six_yard,Deep Zonal,8,5,2,3,0,1,1,1,0,0,1,0,0,0.1575,1
corner,driven,six_yard,Man-to-Man,11,3,1,2,0,1,1,1,1,1,0,0,1,0.1615,0
throw_in,driven,edge_box,Hybrid,3,6,1,3,0,0,0,1,0,0,0,0,0,0.0861,0
free_kick_central,lofted,near_post,Hybrid,8,2,6,3,1,0,0,1,0,1,0,0,0,0.1527,0
penalty,straight,six_yard,High Zonal,9,6,9,0,1,1,1,0,1,0,0,0,0,0.7232,0
goal_kick,driven,far_post,Deep Zonal,3,3,3,2,0,1,0,1,1,0,1,0,0,0.1319,1
throw_in,inswinger,edge_box,High Zonal,9,4,8,2,1,0,0,1,1,0,0,1,0,0.1259,1
penalty,short,edge_box,Man-to-Man,6,1,9,3,1,0,1,1,0,1,0,0,1,0.778,1
penalty,straight,near_post,Man-to-Man,8,1,10,0,0,0,0,0,0,0,0,0,0,0.804,0
free_kick_wide,short,far_post,Hybrid,9,7,8,0,1,0,0,1,1,0,0,0,0,0.1123,1
corner,long,wide_channel,Deep Zonal,4,1,4,4,1,0,0,1,0,1,1,1,0,0.125,1
free_kick_wide,outswinger,central,Deep Zonal,3,4,7,3,1,0,0,1,0,1,0,1,0,0.1596,1
corner,outswinger,edge_box,Man-to-Man,5,4,6,2,0,0,0,0,0,1,1,1,0,0.1326,1
free_kick_wide,outswinger,wide_channel,High Zonal,5,5,5,0,1,1,0,0,0,0,1,1,0,0.1563,1
goal_kick,long,central,High Zonal,5,1,8,1,0,0,0,1,0,1,0,0,0,0.1221,1
corner,long,far_post,Man-to-Man,11,2,7,3,1,1,1,1,0,1,0,0,0,0.1273,0
corner,long,far_post,Deep Zonal,9,3,9,3,0,1,0,1,0,1,0,0,0,0.0981,1
corner,inswinger,six_yard,Deep Zonal,6,7,6,4,1,1,0,1,0,1,0,1,1,0.2267,1
corner,driven,far_post,Hybrid,8,3,7,2,1,0,0,1,1,1,0,0,0,0.1437,0
throw_in,long,far_post,High Zonal,4,4,3,3,0,0,0,0,1,1,1,1,0,0.0903,1
penalty,inswinger,central,Hybrid,4,5,5,1,0,0,0,1,0,0,0,0,1,0.7804,0
goal_kick,outswinger,wide_channel,Man-to-Man,3,3,9,0,0,0,0,1,1,1,0,0,0,0.0981,0
throw_in,straight,six_yard,Deep Zonal,6,6,8,1,0,0,0,1,0,1,0,1,1,0.1449,0
free_kick_wide,straight,penalty_spot,Hybrid,8,5,6,4,1,0,0,1,0,0,1,1,0,0.2049,1
goal_kick,inswinger,wide_channel,Man-to-Man,7,4,6,4,1,0,0,0,1,0,1,1,0,0.0693,1
corner,outswinger,edge_box,Deep Zonal,8,3,3,0,1,0,0,0,1,0,0,1,0,0.035,1
corner,inswinger,wide_channel,Deep Zonal,4,2,4,0,1,0,1,1,0,0,0,0,1,0.1087,1
corner,inswinger,near_post,Deep Zonal,8,7,7,0,0,1,0,0,1,0,1,1,0,0.1301,0
throw_in,outswinger,central,Hybrid,7,1,2,3,0,1,0,0,0,0,0,1,0,0.0838,0
free_kick_central,driven,six_yard,Deep Zonal,11,2,1,4,0,0,0,0,0,1,1,0,0,0.0839,0
corner,short,far_post,High Zonal,5,2,6,4,0,1,0,1,0,1,0,0,0,0.1472,1
free_kick_central,straight,central,Man-to-Man,3,6,8,0,1,0,1,1,0,0,0,1,0,0.2209,1
corner,long,edge_box,Hybrid,7,5,10,2,1,0,0,0,0,0,1,1,0,0.1247,1
throw_in,short,penalty_spot,Deep Zonal,4,7,5,2,0,0,0,1,1,1,0,0,0,0.1669,1
free_kick_central,inswinger,central,Hybrid,4,6,2,4,0,0,1,1,1,0,0,1,0,0.1935,1
free_kick_wide,outswinger,far_post,Deep Zonal,5,4,7,4,0,0,0,1,1,0,1,0,0,0.1031,1
free_kick_wide,outswinger,far_post,Deep Zonal,9,1,4,4,1,1,1,0,1,0,0,1,0,0.1163,1
throw_in,short,near_post,Man-to-Man,6,7,2,1,0,0,1,0,1,1,0,0,1,0.1145,1
free_kick_wide,straight,central,High Zonal,10,5,7,1,0,0,0,0,0,0,0,0,0,0.1271,1
corner,straight,penalty_spot,Hybrid,4,1,8,3,1,0,0,1,1,0,1,1,0,0.1716,1
corner,short,edge_box,Man-to-Man,11,7,1,3,1,0,0,0,1,1,0,0,0,0.0919,0
play_restart,lofted,far_post,Deep Zonal,6,5,8,2,0,0,0,0,0,0,0,0,1,0.0733,1
kick_off,outswinger,far_post,High Zonal,7,5,6,0,0,0,0,0,1,0,1,0,0,0.0861,0
throw_in,short,edge_box,Man-to-Man,10,3,8,2,0,0,0,0,1,1,0,1,0,0.0821,1
corner,straight,near_post,Man-to-Man,7,3,7,4,1,0,1,1,0,0,0,0,0,0.15,1
play_restart,long,far_post,Hybrid,4,3,5,2,1,0,1,0,0,1,1,0,0,0.0722,1
goal_kick,long,central,Deep Zonal,5,1,4,4,0,0,0,1,1,0,0,0,0,0.0563,1
throw_in,long,edge_box,High Zonal,11,4,7,2,0,1,0,1,0,0,0,0,0,0.0472,1
free_kick_central,outswinger,near_post,Deep Zonal,3,1,2,4,1,1,0,1,0,0,0,0,0,0.1671,1
corner,straight,far_post,Hybrid,11,5,6,4,0,0,1,0,1,0,1,1,0,0.0788,1
corner,driven,penalty_spot,Hybrid,9,2,8,3,0,1,0,1,0,0,0,1,0,0.1459,1
kick_off,straight,six_yard,Deep Zonal,7,5,3,4,0,0,0,1,1,1,0,1,0,0.1056,1
free_kick_central,lofted,edge_box,High Zonal,5,3,1,0,0,0,0,0,0,1,1,0,0,0.0789,1
corner,straight,wide_channel,High Zonal,10,2,1,1,1,1,1,1,1,0,0,1,0,0.0939,0
free_kick_wide,straight,edge_box,Man-to-Man,3,2,6,0,0,1,0,1,1,0,1,0,1,0.2021,1
penalty,straight,central,High Zonal,9,3,5,3,1,0,0,0,1,0,1,0,0,0.7824,0
corner,straight,central,Man-to-Man,4,1,7,1,1,1,0,0,0,1,1,0,1,0.2153,0
goal_kick,driven,near_post,High Zonal,6,2,9,2,1,1,1,1,0,1,1,0,1,0.1491,1
goal_kick,inswinger,central,Deep Zonal,3,4,10,4,0,0,0,1,0,0,0,0,0,0.1402,1
throw_in,short,near_post,Hybrid,8,5,4,3,0,0,0,0,1,0,0,0,0,0.0552,1
free_kick_wide,short,central,Deep Zonal,4,4,2,3,1,0,0,1,1,1,0,0,1,0.153,1
throw_in,driven,edge_box,Man-to-Man,4,1,8,0,0,0,0,0,0,0,0,0,0,0.0994,0
throw_in,short,edge_box,Deep Zonal,5,6,1,3,0,0,0,0,0,0,0,1,0,0.0305,1
throw_in,lofted,central,Hybrid,7,3,7,1,1,1,0,1,0,0,0,0,0,0.1475,0
corner,driven,far_post,Deep Zonal,11,5,3,4,1,1,0,1,1,0,0,0,1,0.1166,1
free_kick_wide,outswinger,central,Hybrid,10,7,4,1,0,0,0,1,1,0,0,0,0,0.1386,1
corner,driven,far_post,Hybrid,6,1,2,3,0,0,1,1,0,0,0,0,1,0.1188,0
free_kick_central,lofted,far_post,Deep Zonal,8,7,1,2,0,0,0,0,1,0,1,0,0,0.1365,1
free_kick_wide,outswinger,central,High Zonal,9,7,2,1,0,0,0,0,0,0,1,0,1,0.143,0
corner,short,central,Hybrid,6,4,5,1,0,0,1,0,0,1,0,1,0,0.1283,0
corner,outswinger,wide_channel,Man-to-Man,9,1,3,1,1,0,0,0,1,1,0,0,0,0.1098,1
throw_in,short,penalty_spot,Hybrid,8,2,4,2,1,0,1,1,0,0,0,1,0,0.1303,1
corner,inswinger,penalty_spot,Deep Zonal,9,2,2,4,1,0,0,0,0,0,0,0,0,0.0927,1
play_restart,long,near_post,Deep Zonal,11,5,2,4,0,0,1,1,1,0,0,0,0,0.042,1
throw_in,straight,central,High Zonal,6,5,8,1,1,0,1,1,1,0,1,0,0,0.1285,1
free_kick_wide,short,central,Hybrid,3,4,9,0,0,1,0,1,1,0,1,1,1,0.2267,1
throw_in,inswinger,wide_channel,Hybrid,7,3,8,1,1,1,0,1,0,0,0,0,1,0.082,1
corner,long,near_post,Hybrid,5,1,10,2,0,0,0,0,0,0,0,0,0,0.0956,1
play_restart,straight,central,Deep Zonal,3,7,8,2,0,0,1,0,0,0,0,1,0,0.1458,1
free_kick_central,short,wide_channel,Deep Zonal,4,7,2,0,0,1,0,0,1,0,0,1,0,0.1005,1
goal_kick,outswinger,far_post,Deep Zonal,7,1,8,0,0,0,1,1,1,1,0,0,0,0.1235,0
corner,inswinger,central,High Zonal,11,3,3,2,0,1,1,1,0,0,1,1,0,0.1889,0
free_kick_central,straight,penalty_spot,High Zonal,6,7,8,1,1,0,0,1,0,1,0,1,0,0.2262,0
free_kick_central,lofted,far_post,Deep Zonal,7,3,7,1,1,1,0,0,0,0,1,0,0,0.138,1
play_restart,outswinger,wide_channel,Man-to-Man,4,5,9,1,0,0,0,1,0,0,1,0,0,0.0871,1
penalty,long,near_post,Hybrid,4,4,10,4,1,0,1,0,1,0,1,1,0,0.8017,0
free_kick_central,inswinger,edge_box,Hybrid,10,5,7,4,0,0,0,1,0,0,1,1,0,0.0856,1
corner,long,central,Man-to-Man,8,7,10,1,0,0,0,1,0,0,0,0,1,0.1651,0
free_kick_wide,outswinger,six_yard,Hybrid,4,3,6,3,0,0,1,1,0,0,0,0,1,0.1781,1
free_kick_central,straight,six_yard,Hybrid,7,6,10,4,0,0,0,0,1,0,0,0,1,0.1783,1
free_kick_wide,straight,six_yard,Man-to-Man,8,4,1,1,1,1,0,0,0,0,0,0,0,0.148,0
corner,inswinger,six_yard,Hybrid,3,2,5,0,0,0,0,1,1,0,1,0,1,0.1714,1
goal_kick,outswinger,edge_box,Hybrid,5,1,8,1,1,0,0,1,0,0,1,1,0,0.0927,1
kick_off,straight,near_post,High Zonal,10,6,10,4,1,0,1,0,0,0,0,1,0,0.1028,1
corner,short,near_post,Deep Zonal,6,5,9,0,1,0,0,0,1,0,1,1,0,0.138,1
penalty,lofted,central,Hybrid,9,7,4,1,1,0,0,1,0,1,1,0,0,0.744,1
corner,straight,far_post,High Zonal,8,2,7,4,0,1,0,0,0,0,1,0,1,0.0896,1
throw_in,lofted,central,Man-to-Man,3,5,1,1,0,0,0,1,0,0,0,0,0,0.1038,0
corner,straight,edge_box,Deep Zonal,11,1,2,2,1,1,1,1,0,1,0,1,0,0.0962,0
throw_in,inswinger,edge_box,Man-to-Man,11,1,8,4,0,0,1,0,0,0,0,1,0,0.0368,1
throw_in,outswinger,wide_channel,Hybrid,9,5,4,4,1,0,1,0,1,1,0,0,0,0.0625,1
goal_kick,straight,far_post,Deep Zonal,4,4,6,1,1,1,0,1,0,0,0,0,1,0.0916,1
corner,outswinger,edge_box,High Zonal,10,5,3,1,1,1,0,0,1,0,0,0,0,0.1144,1
kick_off,driven,edge_box,Deep Zonal,3,6,8,2,0,0,0,1,1,0,1,0,0,0.0841,1
corner,long,wide_channel,Man-to-Man,7,6,1,1,0,1,0,1,1,0,0,0,0,0.0844,1
corner,short,edge_box,Deep Zonal,6,2,7,3,1,0,0,0,1,1,1,1,0,0.0719,0
penalty,straight,central,Man-to-Man,9,2,7,3,0,0,0,0,0,1,1,0,0,0.7469,1
free_kick_wide,straight,near_post,Deep Zonal,4,4,9,2,0,0,0,1,1,0,0,0,1,0.1295,1
goal_kick,short,wide_channel,Man-to-Man,10,7,3,2,1,0,0,0,0,0,1,0,0,0.0188,1
goal_kick,inswinger,edge_box,High Zonal,8,5,4,0,0,1,0,1,1,1,0,0,0,0.112,0
free_kick_wide,inswinger,six_yard,Deep Zonal,5,2,6,3,1,0,0,1,0,0,1,0,0,0.1427,1
play_restart,outswinger,edge_box,Deep Zonal,5,5,3,4,0,0,0,0,0,0,1,0,0,0.0748,1
corner,inswinger,edge_box,Man-to-Man,9,3,8,4,1,0,1,1,1,0,0,0,0,0.1759,1
free_kick_central,long,edge_box,Man-to-Man,4,1,8,3,0,0,0,1,0,0,1,0,1,0.138,1
corner,inswinger,wide_channel,Man-to-Man,5,5,8,3,0,0,0,0,1,0,1,0,1,0.1396,1
play_restart,inswinger,wide_channel,Hybrid,11,2,5,4,1,1,0,1,0,0,1,1,0,0.0891,1
corner,lofted,central,Hybrid,10,6,7,1,1,1,0,1,1,1,1,1,0,0.1868,1
corner,lofted,near_post,High Zonal,5,4,2,3,0,0,1,1,1,0,0,0,0,0.1102,1
free_kick_wide,straight,near_post,Man-to-Man,8,4,2,0,0,0,1,1,0,0,1,0,0,0.1161,1
play_restart,straight,far_post,High Zonal,6,2,4,3,0,0,0,0,1,0,0,1,0,0.0515,1
kick_off,driven,six_yard,Deep Zonal,4,3,3,1,0,0,0,1,1,1,1,0,1,0.1283,1
goal_kick,inswinger,six_yard,Man-to-Man,5,3,9,2,0,0,1,1,1,0,1,1,0,0.1639,1
kick_off,straight,far_post,Deep Zonal,3,5,3,0,0,0,0,0,0,1,0,0,0,0.0695,1
kick_off,inswinger,central,Man-to-Man,10,3,10,0,0,0,0,1,0,0,1,1,0,0.1195,1
free_kick_central,straight,far_post,Hybrid,5,1,5,3,1,0,0,1,0,0,0,1,1,0.1735,0
free_kick_wide,lofted,six_yard,Man-to-Man,4,1,8,4,1,1,0,0,0,0,0,0,0,0.1623,1
goal_kick,long,penalty_spot,Man-to-Man,8,2,1,0,0,0,1,0,0,1,1,0,1,0.1156,1
throw_in,lofted,near_post,Hybrid,4,4,8,4,1,0,0,0,0,0,0,0,0,0.1107,1
free_kick_wide,long,central,Man-to-Man,11,3,5,3,0,0,0,0,0,0,0,0,1,0.1359,1
corner,short,penalty_spot,High Zonal,10,7,9,3,0,1,0,1,0,0,0,0,1,0.1404,0
goal_kick,long,penalty_spot,Man-to-Man,6,2,2,1,0,0,0,0,1,0,0,1,1,0.1058,1
corner,long,six_yard,Deep Zonal,4,3,3,4,1,0,1,1,1,0,1,0,0,0.1566,1
play_restart,straight,wide_channel,High Zonal,4,3,9,3,1,0,0,0,0,0,1,0,0,0.0872,1
corner,outswinger,near_post,Hybrid,10,2,6,0,0,0,0,0,0,1,0,0,0,0.0511,0
corner,short,central,Hybrid,6,7,6,4,0,0,0,0,0,0,1,0,0,0.1055,1
goal_kick,outswinger,far_post,Man-to-Man,8,2,6,1,0,1,0,1,0,0,1,0,0,0.0732,1
corner,straight,central,Man-to-Man,4,1,4,2,1,0,0,0,0,0,1,0,1,0.1744,0
corner,inswinger,far_post,Man-to-Man,10,4,10,0,1,1,0,1,0,1,1,1,0,0.1741,0
throw_in,short,near_post,Deep Zonal,7,5,6,1,0,1,0,1,0,0,0,0,0,0.0646,0
kick_off,outswinger,near_post,Hybrid,3,4,1,3,1,0,0,0,1,0,0,0,1,0.1125,0
corner,outswinger,six_yard,Man-to-Man,3,3,3,4,0,0,0,0,0,0,0,0,0,0.1246,0
free_kick_wide,straight,near_post,Deep Zonal,11,7,10,2,0,0,0,1,0,0,1,0,1,0.1409,1
goal_kick,inswinger,six_yard,Man-to-Man,3,3,5,3,0,1,0,1,0,0,1,0,0,0.134,1
play_restart,lofted,central,High Zonal,5,5,8,0,0,1,0,0,0,1,0,1,0,0.1347,0
free_kick_central,straight,central,Deep Zonal,3,6,1,1,0,1,0,0,0,0,0,1,1,0.1607,1
corner,straight,near_post,High Zonal,3,3,1,2,1,0,0,1,0,0,1,0,0,0.1249,1
corner,inswinger,near_post,High Zonal,10,4,3,0,1,0,0,0,1,0,0,1,0,0.1249,1
corner,driven,central,Hybrid,9,3,6,1,1,0,0,1,0,1,0,0,0,0.167,0
corner,short,six_yard,Deep Zonal,5,5,7,0,0,0,0,1,1,0,1,0,0,0.1747,1
throw_in,straight,wide_channel,Hybrid,4,4,1,2,0,1,0,1,0,0,1,1,0,0.0874,0
corner,outswinger,near_post,Man-to-Man,5,6,10,1,0,1,0,1,0,1,0,0,0,0.1668,1
free_kick_central,long,near_post,High Zonal,6,2,7,1,0,0,1,0,0,0,1,0,0,0.1542,1
throw_in,lofted,near_post,High Zonal,9,2,4,2,0,0,0,1,0,1,0,0,0,0.0738,0
throw_in,straight,edge_box,Deep Zonal,8,3,5,0,1,0,0,1,1,0,0,0,0,0.0701,1
corner,inswinger,central,High Zonal,6,5,6,3,0,0,0,0,1,0,0,1,0,0.1526,1
goal_kick,inswinger,central,Man-to-Man,3,2,8,2,1,0,0,0,0,0,0,0,1,0.1252,1
throw_in,inswinger,six_yard,Deep Zonal,4,7,1,4,1,1,0,1,1,0,0,0,0,0.1443,1
throw_in,long,six_yard,High Zonal,4,4,6,1,0,0,1,0,0,0,0,0,0,0.1007,1
corner,lofted,edge_box,Man-to-Man,4,6,6,0,0,0,0,0,1,0,0,1,0,0.0947,1
corner,lofted,near_post,Hybrid,7,4,8,2,1,0,0,0,0,0,0,0,1,0.1283,1
play_restart,driven,far_post,Hybrid,10,3,4,0,0,0,0,1,1,0,0,0,0,0.0989,0
free_kick_wide,inswinger,central,Deep Zonal,6,6,4,1,0,0,1,0,0,1,0,0,0,0.1522,1
free_kick_wide,lofted,edge_box,High Zonal,5,2,9,3,0,0,0,0,0,0,0,0,0,0.1139,1
free_kick_central,outswinger,edge_box,Hybrid,8,2,9,4,1,0,0,1,1,0,1,1,0,0.1916,1
throw_in,outswinger,near_post,Man-to-Man,3,6,9,2,0,0,0,0,0,0,0,0,0,0.1048,1
play_restart,long,six_yard,Hybrid,9,7,9,0,0,0,1,1,0,0,0,1,0,0.1695,1
corner,inswinger,far_post,High Zonal,3,3,2,1,1,0,0,0,1,0,0,0,0,0.1517,1
play_restart,driven,edge_box,Deep Zonal,6,4,7,1,1,0,0,1,0,0,0,1,0,0.093,1
corner,lofted,near_post,Deep Zonal,11,4,7,0,1,0,0,1,1,0,0,0,0,0.0831,0
penalty,driven,central,Man-to-Man,6,6,3,3,1,1,1,0,1,0,1,1,1,0.7615,1
throw_in,driven,near_post,Man-to-Man,9,4,5,3,1,0,0,1,0,1,1,1,1,0.1754,1
corner,straight,edge_box,Man-to-Man,5,5,10,1,1,1,1,0,1,0,0,0,0,0.1957,1
corner,inswinger,near_post,Deep Zonal,10,5,2,2,1,1,0,1,0,1,0,1,0,0.1114,1
free_kick_wide,driven,central,Deep Zonal,6,6,9,2,0,1,0,1,0,0,0,0,1,0.1915,1
play_restart,short,edge_box,High Zonal,5,1,4,2,1,1,1,1,1,0,1,0,0,0.103,1
throw_in,lofted,edge_box,Deep Zonal,3,5,9,3,1,1,1,1,0,0,0,1,0,0.1572,1
play_restart,inswinger,penalty_spot,High Zonal,5,2,6,3,0,0,0,1,1,0,0,1,0,0.1255,1
goal_kick,outswinger,edge_box,Hybrid,8,1,1,0,1,0,0,0,0,1,1,0,0,0.0496,1
free_kick_central,straight,edge_box,Man-to-Man,3,6,2,1,0,0,0,1,0,0,1,0,0,0.129,1
goal_kick,long,penalty_spot,Man-to-Man,4,3,9,4,0,0,0,1,0,1,0,1,0,0.1096,1
corner,driven,central,Hybrid,6,6,8,2,0,0,1,0,1,0,0,0,0,0.1645,1
corner,lofted,near_post,Man-to-Man,9,7,3,2,1,0,0,0,0,1,1,0,1,0.1145,1
goal_kick,outswinger,far_post,Deep Zonal,8,1,7,3,0,0,0,1,0,1,0,0,0,0.0348,1
goal_kick,straight,near_post,Deep Zonal,3,4,6,3,0,0,0,0,1,0,0,0,0,0.0532,1
corner,inswinger,far_post,High Zonal,3,1,1,2,1,0,1,1,0,0,1,0,0,0.1125,1
free_kick_central,outswinger,far_post,Man-to-Man,3,6,8,4,0,0,1,1,1,1,0,0,1,0.2107,1
throw_in,straight,near_post,Hybrid,5,7,2,2,1,0,0,1,1,0,0,0,1,0.1252,1
kick_off,short,edge_box,Man-to-Man,5,7,5,4,0,1,0,1,1,0,1,0,0,0.0946,1
throw_in,straight,edge_box,Deep Zonal,4,7,1,2,1,1,0,0,0,0,0,0,0,0.0698,1
free_kick_wide,straight,penalty_spot,Deep Zonal,6,3,3,1,0,0,0,0,1,1,1,0,0,0.1153,1
free_kick_wide,short,wide_channel,Deep Zonal,8,2,10,0,0,0,0,1,1,0,0,1,1,0.0898,0
free_kick_wide,driven,central,Deep Zonal,9,7,6,2,0,0,0,1,0,0,1,1,0,0.1315,1
throw_in,outswinger,central,High Zonal,11,5,8,4,0,0,1,1,1,0,0,0,1,0.1385,1
kick_off,outswinger,central,Deep Zonal,9,3,3,2,1,0,1,0,1,0,0,0,1,0.0749,1
free_kick_central,long,penalty_spot,High Zonal,11,2,1,3,0,0,0,0,0,0,1,1,0,0.0864,1
corner,driven,central,Man-to-Man,11,1,7,2,0,0,0,1,1,0,0,0,0,0.1356,0
corner,driven,six_yard,Hybrid,10,1,3,4,1,0,1,1,0,0,0,1,1,0.1421,1
goal_kick,outswinger,central,High Zonal,6,5,2,3,0,0,1,0,0,0,0,0,1,0.0658,1
goal_kick,short,far_post,High Zonal,3,2,5,3,0,0,0,0,0,1,1,0,0,0.0708,0
corner,lofted,far_post,Hybrid,3,6,5,1,1,0,1,1,0,0,1,0,0,0.1425,1
corner,straight,central,Deep Zonal,10,6,2,2,0,0,1,1,0,0,1,1,0,0.0818,1
